"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.134336001725","12.6897579454611","10.3603817107467","11.9484046164291","11.1654087876017","9.86038937465642","9.35459613289025","8.30276004557373","4.696372864714","4.31176435442433","5.10979266008033","3.83314218682084","3.6802510519657","3.65259208973618","3.72485527466578","4.16099487041568","",
"Angola","AGO","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0329203539823","13.8754641909814","6.23386766076421","27.3755173365217","12.8833216075983","10.7886306722638","9.19173249002421","10.934564719985","11.647001444409","13.9189386804869","12.2908861158394","8.16725533071883","6.78449029078347","10.4641587891309","10.6044905350185","8.70454255544237","8.69862287926","12.0250725449374","12.8877429712969","11.4798495273084","12.3999600882007","10.5352532679654","9.50392169689592","8.87121243454739","",
"Albania","ALB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73437520175261","5.42898862467715","6.22608105672699","6.25619786501779","4.64272721436367","5.30374152460951","5.28386450211732","5.26790009594914","4.82648553602103","4.24378498276555","3.82627416237853","3.78723434007733","3.80518109954003","3.99130087621609","4.2893905673728","",
"Andorra","AND","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5656091995504","24.31814482247","24.5369117548701","24.0862675420869","22.8080144624354","21.3513396887826","22.7949001618844","27.6299569416129","25.4559110410345","","22.8128988930384","19.8121748451478","19.2846844988471","18.3047363377149","18.4221382803001","18.4123045953552","17.6735785363155","16.0263798916904","15.8298158333307","15.8215242882537","14.9830284089574","15.5087945273758","17.148153841574","17.9241589396428","21.7379976017714","17.8277711099409","20.666929982526","18.3851182972404","15.7962478416212","",
"United Arab Emirates","ARE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1598216381131","20.6072477962782","20.6520006376534","26.1858822672831","22.2450898453824","22.8546521764398","23.4029772501393","26.042587718842","23.2249044823855","20.6432633849774","18.5816629191982","16.7108388253614","15.5930955120829","18.7415637308207","17.5485140622275","17.4275928988533","19.9148885242204","17.0387678455648","","","","","","",
"Argentina","ARG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.76284549024364","4.89338277900104","4.51496876436704","4.39388451986755","4.28520119391155","4.06980367715799","4.00710246949338","4.46885679494062","4.30795156255064","3.83548156104547","3.46831777802766","2.96142744686434","2.68200390095939","2.47951410684899","2.56776861997814","2.44282162946179","2.18981461392914","2.13143597816161","2.22784898599116","2.26006388591143","2.05512180882873","1.94895474840026","2.06158761632168","1.900613416805","1.86512810382822","",
"Armenia","ARM","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4528085980008","14.7377317647059","13.5710046894098","15.2706602976948","14.5588154965548","16.2807704907726","15.4377929045529","15.988405530378","16.7974828681356","16.4371015053236","16.0998743250336","15.1226623240176","14.7914763511624","20.8599044645175","19.7698749883886","",
"American Samoa","ASM","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.04351515722974","6.91501827050767","6.79190522886154","6.54926201406241","6.36201933521616","6.3810935335245","6.26089197614197","6.00408729628834","5.76108164555223","5.68630161751726","5.38823484588715","5.20876582935437","5.18288400684111","5.2337558515831","5.35459331229545","5.28148237608047","5.23522482531062","5.19949728244568","5.26488701791899","5.28441792672981","5.12611053421022","5.09118286415554","5.02028065651807","4.83693062657808","4.56898682897517","4.49405802167074","4.81011615177255","5.22243761075376","5.57790524082659","5.4412819160955","5.16376457333695","5.1163052537488","",
"Austria","AUT","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70275019769792","2.6357112705783","2.54508548676712","2.41118378863666","2.23902106697411","2.05751372251182","2.02627916406396","1.9012255498742","1.86221022984657","1.94611688864562","1.8307218301565","1.9444742410797","1.93159028105101","1.76504348593881","1.68193442016185","1.82318437443309","1.65790767717745","1.66192198199585","1.55982953492681","1.82864212363054","1.7459147315395","1.53927540878487","1.55432460438281","1.55406732517693","1.5200500024511","1.45374554670875","1.42911231198155","1.36812564395945","1.45875723900454","1.54373861692146","1.5330712698684","1.51366063016853","",
"Azerbaijan","AZE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.02325581395349","14.6733668341709","11.4074074074074","11.5047021943574","13.3870967741935","13.4646739130435","12.4274099883856","13.7780269058296","9.69351389878831","11.2015503875969","10.8567279767667","10.2201277955272","13.5083280624078","10.9874205329366","10.4683413899675","9.63695563695564","8.7333284208975","13.8434832100171","12.7158954926207","12.0194713616305","12.5225938693748","14.1285537700865","10.4261589558872","10.5536249251049","10.7478543612235","11.321744127577","",
"Burundi","BDI","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2818774844562","16.3792557570129","11.8530519309922","13.8275986619973","20.1051872104504","16.3619957371999","20.6014092604725","29.1190810124892","28.3389903561231","24.7561303996595","19.729224479763","23.9026157681554","22.6086486194121","15.1734290658333","12.016657909588","13.3852761961842","9.62808386479659","8.76318413181508","6.61009106671616","","","","6.73122501806257","7.13967793671893","6.66851577695569","8.10186140896857","9.99646915791236","8.5799800985077","8.43062087270472","7.77622315615428","",
"Belgium","BEL","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63641442671798","4.46832085813638","4.27783584246926","4.06093424205645","3.23593584149074","3.00420796708435","3.02972204469884","2.93285103465695","2.86268234135533","2.82184161203673","2.78108605070936","2.76218514883873","2.73424177351102","2.59515359197161","2.45566366807417","2.39573595278293","2.34866728695747","2.11428322689368","2.1696962804304","2.26851851851852","2.41424053654783","2.14225959145638","2.03337612323492","1.91407005999613","1.8583788727775","1.80976469406576","1.76943530007597","1.7153411894662","1.70701303771133","1.7174430540086","1.73788859884056","1.79172218520986","",
"Benin","BEN","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.465183140705","9.2393439910657","","","","","","","","","4.51693542418736","2.63947317946423","2.31734513060983","4.07497852552427","4.72911857539926","5.0611664622052","4.81642006879141","5.11865555783386","","4.56347519405476","","","","4.93158026676348","4.6141967264387","4.92756978294514","4.39874470003551","4.36612654892149","5.17635578392843","3.82293194898996","2.85960350595372","",
"Burkina Faso","BFA","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8868053743804","18.8348296338187","17.1541313282759","14.0363938322333","13.8429068339425","9.41532579257607","7.9615947832598","7.0871449205585","6.46392618876706","6.99255060275786","6.34201708806149","5.75813588752591","6.24419839804014","5.8775638151049","6.05109083177967","6.09743494346954","5.95841131926439","5.94497653298737","5.07503851812456","6.19886562666449","6.6857141398777","6.28633922288823","5.65588866578966","5.63174592805318","5.18806566046717","4.89335470054897","6.07969949235196","6.14370466177535","5.38717448245134","5.19531440770793","7.94945981788881","9.01480481398237","",
"Bangladesh","BGD","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3337737612391","10.4500622232423","10.2820063762895","10.4265603011602","11.5816318191492","11.1583204797183","11.8260783388741","11.4423578518563","11.9872758971844","12.2654684840685","12.3268919009626","14.158162194723","12.3096970956816","10.5139681996053","10.123572344162","9.87597269802709","10.1051512216247","9.47922027308811","9.77435613164746","10.3575151103263","8.13035028848964","9.7293875642094","11.1722830540773","10.4551840184703","9.94524039858114","9.13185583548849","9.72598843020906","10.5139783915866","10.9210644899641","9.78248454716474","9.57301443790953","9.71164744800141","",
"Bulgaria","BGR","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96468263768832","7.24461623412479","7.14354112802834","7.84747412191454","7.92534940162357","7.52499427611997","6.85834502103787","6.56792900887389","6.40532629283132","6.72976315038524","6.37285075300587","5.15092660030752","4.75325578699231","4.11217837441654","4.08945449132991","4.09940017137961","3.53182488302032","3.33762000179442","3.80091657853412","3.81598151301387","4.22277595164882","8.40762025431015","",
"Bahrain","BHR","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2857142857143","16.9811320754717","16.7464114832536","16.7731629392971","16.2861491628615","17.0914542728636","19.2982456140351","13.6107986501687","17.5886524822695","17.0186335403727","17.15374841169","14.6443514644351","14.5217391304348","15.9146841673503","15.527950310559","12.9010695187166","12.8665077473182","12.6624737945493","11.8416447944007","14.0841248303935","11.481884057971","12.9403929403929","12.0460704607046","12.0642857142857","15.5508830950378","12.6711848562748","13.3007753759398","13.3464566929134","12.0066889632107","12.0814272644099","",
"Bahamas, The","BHS","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.55265379975875","5.03363009764503","4.3206305688828","3.4676844783715","3.13458070333634","2.73448445011282","2.52301960149036","2.81081103334706","2.58874451972898","2.4500698610997","2.44406476283459","2.41656981570646","2.22141047965807","2.30363987759704","2.21350558769914","2.12431839548731","2.07954926701189","2.26081673025293","",
"Belarus","BLR","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8021248339973","30.938292476754","28.857837181045","29.8461538461539","32.2101090188305","35.0219695011631","32.4493927125506","23.4289617486339","25.677147134885","30.2660489741893","30.389337641357","31.9834256737722","31.5036203558251","33.0248578002173","30.6883237917721","31.0733146940044","29.6190233977619","31.9916357489407","31.7973607781221","",
"Belize","BLZ","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.68580882352941","5.39942528735632","","","2.70061669829222","2.46028465346535","2.60130813953488","2.64774767801858","2.98776377952756","3.43300080128205","3.82054043545879","3.38476629766298","4.83662467700258","4.36600189633375","3.75452876376989","3.57685614849188","3.45889204545455","3.7707051961824","3.75790094339623","3.22710720130933","3.46851238019169","3.53088653846154","3.84617537313433","3.71649003984064","",
"Bermuda","BMU","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4282955031652","8.8353546647689","12.3645060225396","11.1183095546909","9.92439287641662","7.05054151624549","8.40746248479113","8.13116726835138","7.62790221949473","8.03956865075996","8.9784808322645","7.26476203945973","7.03718058201406","7.08767234859503","6.09580838323353","6.70777154976519","5.9515541740675","5.34188903670084","5.25460324419114","5.16524453694069","5.55361707116895","5.56708407871199","5.28977665208381","4.76330798155616","5.12120924577817","4.79018398879854","4.38507305301794","3.91079858379229","4.0770585283031","3.98024470456522","4.14240408266031","3.89586492723591","",
"Brazil","BRA","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.32646869006946","4.08718011509734","4.06423947351732","4.1564292515269","5.01922751348344","5.38701469776964","4.87154880178955","3.66784483407436","3.82843760455002","3.83298031600072","3.77885552119954","3.89783750980885","3.85429640459927","4.14734841592366","3.85891438963043","3.75737025433458","3.70327598134387","3.55031630828412","3.45366514621454","3.54847797302891","3.40078785247223","3.69415580577298","3.91864061200934","3.85565532176265","",
"Barbados","BRB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2325838555105","12.5129265770424","14.6914446002805","15.2408339324227","13.350700097688","11.0300554420776","9.27213722763097","9.08682970608032","12.366452991453","13.4445534838077","12.1003443187408","10.1295097132285","9.79525360632852","9.88593155893536","8.43222985633979","10.843989769821","6.89443535188216","8.10162522028588","8.24929228591649","8.11937312437479","8.35368832437714","8.44258214404248","7.87858621709553","7.54730608117868","6.96624644164295","6.78153360515586","9.05517941773866","8.47865764979639","8.99423107955462","7.83288442703232","8.19910790144435","9.4533756684492","",
"Bhutan","BTN","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0248538011696","9.58923611111111","10.2720848056537","10.4204817474566","9.98411326774794","10.2017006802721","10.3192377086152","9.13826510333863","7.7952952952953","8.08018477661335","8.63154332129964","7.5878084179971","8.16920943134535","8.98635798405384","9.00429662635264","9.1545834357336","8.478110797906","8.22651996370236","8.07113543091655","7.57865689078677","6.45590327169275","5.98189415041783","6.16589010073665","6.42520947553533","6.1137568735271","6.16762520968129","6.14716003480737","7.14147874510669","9.96490448689471","9.27105988731526","8.45517023330116","8.58633555758542","",
