"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","2064060925.0756","2227573076.49233","2384365550.45358","2515399260.83548","2705790122.07414","3087691790.79404","3496472169.33587","3888453354.239","4449546421.77176","4787770187.03102","5442938738.94053","6286258259.60354","7498831775.70093","9324791800.12812","12853352984.5247","16338932131.64","18782301777.3856","19263592567.1025","21131288066.7719","23421560831.5347","25819498607.2423","31504702194.3574","34421273309.0588","33065044454.8432","35447382720.5216","34096034363.734","34591494124.2306","35829804129.1689","42565483119.9069","52051950166.9245","53572912658.7149","59204928969.4686","61872644774.2829","58980466554.244","59196817710.1349","66188743688.7437","71874810318.6646","76578494287.0559","70264532320.4232","69972427622.5091","73856057275.639","67287216915.3161","69238174968.6061","82080372743.1567","107157490396.927","121773417531.198","130408805031.447","147961058333.988","181736794986.571","163215284935.945","206293490707.302","248753820368.727","278094452464.426","281197291474.3","259706233360.874","244125967218.571","225532828650.459","247408552681.198","267761413843.888","265466313832.07","",
"Austria","AUT","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","2200707065.36121","2570373939.86122","3142297160.54527","4334861901.74995","5401043875.14723","6725931895.39385","7381284037.73874","8768401465.32345","10956079787.7381","12955362840.9676","14388328015.3159","12761089510.9729","13076647576.0265","13231553546.8056","12501642252.94","12890566640.0638","18604377647.589","23284168480.6269","24685796277.7221","24206603224.129","29922915406.0269","31557191514.4372","36069773353.3684","36744077842.1862","39576137814.7211","47218575133.0695","46419911619.4437","41708591723.9824","42676478434.8599","43097624121.0313","37824359683.0662","37447167785.2349","40197590814.9821","49668916478.5553","56844896945.6171","61129274965.8003","64707577468.3227","72859403230.2217","82926878570.3823","82772492358.9886","80308807893.0913","85778146041.7693","81314686238.0911","85652238669.8881","87527795784.6307","75453605957.7999","77733594444.8596","81321127498.106","87988137659.7254","86559146051.6861","",
"Azerbaijan","AZE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1558912385.58407","1707798598.67305","884444809.399608","1196850411.94771","779146369.054283","390535023.715702","381771681.004418","499749058.971142","673947029.167833","715262327.575746","798810277.809519","778911199.39869","773503394.3633","901445734.066382","1119772056.57881","1380473873.4927","1791918513.54377","3192751427.57254","4150073028.23759","4926723065.43916","5756571570.94805","6679371913.38483","7334903258.6558","7626513702.99554","8190998342.47099","6585594378.29397","4859184057.1536","4634731582.61678","4931058823.52941","5202235294.11765","",
"Burundi","BDI","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","5250000","5250000","7000000","10500000","14000000","11042370.3703704","11745142.8571429","12954285.7142857","14289142.8571429","15760000","23718857.1428571","26762285.7142857","31896000","35251043.4108915","43443809.5238095","48606984.1269841","39043478.2608696","61055555.5555556","84177777.7777778","100542222.222222","84777777.7777778","87888888.8888889","108000011.111111","90048413.1253362","77186542.4776543","90065456.9558373","118244722.781817","109663321.463257","115887317.924427","113445139.821135","122448979.591837","125710059.334593","208350335.808894","192339373.970346","161084131.827771","190584485.782237","173740710.156895","163190009.933305","153205090.696967","146745688.125488","129325488.781273","136193171.554164","121605261.65373","137011139.642719","175978962.857999","157512939.436963","193553003.080831","257677888.566433","325590870.739657","350946675.086036","445037624.671105","512002989.834136","543660766.377614","605551457.188223","700798034.922005","696039941.006362","694722446.035713","795810624.416227","795987758.626492","832569245.294366","",
"Belgium","BEL","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","4483630496.16781","5299932571.33459","6804752085.05178","8865218381.28752","10607580778.7904","13889753208.2922","15150993730.4075","18088937535.1716","22913595491.2258","26712897633.4618","29006828528.0728","25243179052.5858","21883725940.3143","20417394082.8402","19460628316.1128","19698226781.7107","27229273072.0607","33646069151.8098","34315229840.9216","33592785626.5356","41512504828.5852","43918753691.6716","49212420326.2233","47853703358.209","51675286954.4249","61346469622.3317","60638045602.6059","53451285520.9743","54536341409.202","54941402088.2165","49697899391.9292","50415480984.34","56931865236.2131","71361286681.7156","81804941643.9037","85188036313.8913","89492284531.4264","101664796058.034","116781309506.372","116446790775.215","114142740472.438","125693250374.351","120588682509.565","126825779068.003","129573328036.664","109137050909.887","110666717372.838","115713807746.471","125009703444.392","122796054560","",
"Benin","BEN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","22968893.7503237","23961099.6652126","25650804.301307","26982792.1722791","24650169.8586932","25651987.322335","24922825.1242274","28208832.1628092","29349906.9132231","29520627.7412808","32490222.0705918","33665454.4199973","41622427.0675117","50249182.1048306","47776384.5076561","62618723.8379024","60012428.0970327","62316911.409449","77241452.1401833","95194843.4009522","121450439.607042","118241723.539597","132985882.193981","157977887.032692","143263650.151148","160707710.628296","203866097.285666","242898873.215442","213712886.631512","166519176.460299","344355568.549442","321437724.4938","267058711.795493","346975907.128978","249826595.488115","313460085.217142","319036329.416107","299710075.601017","321998000.514618","299448358.946765","283729785.808882","296096013.647305","325050931.134846","471217540.665413","544352560.777823","590267892.219454","679364874.186756","780621672.938747","997598525.073285","1094949578.16438","1069090356.74016","1178782833.09489","1239843929.45499","1382249846.72998","1352391198.6719","1299546338.4774","1215302386.61261","1331004633.84583","1483599661.90961","1488296235.27542","",
"Burkina Faso","BFA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","24540403.9477135","26806827.5271844","28651247.8072664","29105422.37394","28649692.6258361","21361731.3084217","19946391.7055793","19470616.570915","27895994.8231694","28277745.2728395","31836166.0922037","34424729.9136682","42038093.0501263","54536482.9415167","62086115.9279881","121185470.403321","98947400.7994965","113488727.594802","148267486.144828","188743230.588713","178005237.611789","164340311.425179","241868698.764661","230073059.260076","190420187.268026","268619372.532208","386741515.810155","472535131.007382","523729977.888065","526733087.425339","653040969.321399","680025883.450564","486888566.313666","497657653.024453","494006027.14747","599607283.324959","630849228.153362","580911814.104322","625419149.059152","405742160.483871","417172909.537167","466610945.255563","528495519.185738","644121598.579335","776104973.470526","847755832.434343","988799246.629568","1272741563.53805","1386534489.01345","1438360658.04878","1461600993.98882","1725866726.39452","1790520309.51337","1970341154.1536","2157651001.00799","1886528970.9253","2118415688.27564","2502478659.07687","2729119041.88792","3041227998.10893","",
"Bangladesh","BGD","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","264683510.317678","306058050.340569","320794153.921782","369253339.496539","450302065.443208","535034770.410181","834008154.365551","812754113.54329","896353297.721964","1122779517.89291","1202978077.20668","","","318518185.323223","580918578.960582","615303717.890942","411558202.020202","491170058.177117","647561970.899471","978098764.78318","1113864967.70026","889228886.168911","821107784.431138","758796296.296296","822040000","897961538.461538","914766666.666667","1006709677.41935","1107115357.54429","1195576380.82025","1280759819.01789","1280504201.68067","1411432360.74271","1643015873.01587","1648977556.10973","1756567164.1791","2195378973.10513","2365409836.06557","2562048458.14978","2583839434.27621","2654144305.3071","2616234247.59081","2748598293.57479","3085129533.67876","3368965517.24138","3597300813.00813","3907014571.17332","4266764290.47205","4744921294.27197","5219957549.44595","5850788801.63276","6557250345.88443","6720252984.44273","7673708924.81606","9227797041.96448","10542520729.813","13046863719.9395","14972271394.8748","17419828662.3634","18974507082.6831","",
"Bulgaria","BGR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","2717692307.69231","2927857142.85714","2903333333.33333","2566722222.22222","2662166666.66667","2843578947.36842","3431823529.41177","4741461538.46154","3682000000","3635722222.22222","3752272727.27273","2082903225.80645","2104896907.21649","2042028985.50725","1666918819.18819","2913586309.52381","1702625070.26419","1374119150.96022","2757419904.56714","2671841976.38352","2620703150.7559","2747124547.99286","3145763119.88445","4252380677.55526","5064667640.14983","5422340384.98189","6238883473.35343","7415092372.28831","9343461222.04772","8708400511.83621","8364803709.2189","9142191254.88802","8574389618.92247","9535089576.54723","9608587030.2537","8168121174.33689","8407511877.82805","9221148948.42985","10893138805.0694","11511145392.1007","",
"Bahrain","BHR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","400371451.313346","501595744.680851","620478723.404255","676861702.12766","803723670.212766","831914893.617021","830850797.87234","826861702.12766","902127659.574468","948669946.808511","1024202127.65957","1079787234.04255","1133510638.29787","1158244680.85106","1170212765.95745","1219414893.61702","1234840425.53191","1236968085.10638","1284042553.19149","1378191489.3617","1468989361.70213","1549335106.38298","1695079787.23404","1917712765.95745","2030186170.21277","2244680851.06383","2352180851.06383","2629281914.89362","2903537234.04255","3206356382.97872","3324095744.68085","3981515957.44681","4748404255.31915","5060611702.12766","5383856382.97872","5491382978.7234","5515771276.59574","5898031914.89362","6145611702.12766","","",
