"ï»¿""Data Source""",World Development Indicators,

Last Updated Date,2020-12-16,

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Austria,AUT,educ spending per person (current US$ per capita),,,,,,,,,,,,8538.044766664798,10196.183250463897,13012.456156766872,17568.440471859925,21560.527924182083,27104.45273253238,29741.458272894684,33739.91772277257,42338.497094136954,49342.55533053184,54445.22995213321,50378.23164291656,50467.59731575393,50584.3114807347,47602.922622226186,48586.5246640994,71956.37560797826,88129.33342352336,91245.86635745561,87662.1393398108,107478.08837406742,114367.81283127605,131789.72934580836,126476.18047696553,,164619.32472151794,156792.7656933223,,167009.77747889308,166098.54275688226,137286.08935316728,136808.41963736096,145793.87096769095,172773.7046717568,195243.54570737196,201592.26264816805,212381.1156155983,241161.97988898194,272192.8686144117,274841.0030982385,267113.33778254315,287302.6333810595,266170.40139776777,281331.16612552945,281737.2608401218,241061.05691942535,248313.99973912365,254113.14130950946,,,,
Azerbaijan,AZE,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096.10560361116,,,1325.597044542959,1437.381383100761,,1899.2569634033703,2417.318958093871,2524.7390053555646,2465.3001313429795,2407.1073136696164,2903.7867003768138,3602.8788612733374,4695.147482117448,6320.01019180201,9818.393253444681,13607.217043874092,15961.284609172317,16246.62319121533,17511.500240494734,15499.56409644225,19233.623025929188,20778.142785779095,16235.155847091837,11267.37547523505,10259.15336055766,11638.349676777423,,,
Burundi,BDI,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,541.4695482917829,,760.1433148384893,,,,,,,,,699.2336272262337,732.892645204429,724.9726192683637,,715.8904861363668,838.0194460494013,585.5460125148956,,,440.6428638613784,361.01269421818864,390.1793483250562,369.9598561821462,,480.6154905404596,550.9313361467142,,,1030.0268131578948,1309.2981899524952,1587.0050566609218,1577.1456727714633,1556.514865364498,1540.6636218166802,1864.7792857977615,1946.517093003203,1324.0501431003158,1395.2606098191372,1380.1335195514737,,,
Belgium,BEL,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,38618.82991934444,41510.19404091818,50467.55351409899,55938.67814784642,63545.248459194845,68316.08476431767,57738.329735494364,49678.78683364271,,,,59052.56863824757,69278.76128257875,70493.50856858164,,,,,119716.21592776038,130993.45419438696,84919.26928400817,83828.84766007983,,,,,,,,,213264.3237156479,,,304658.0713109027,287924.983677601,284388.0331429048,304545.2463877305,,309941.8817539931,314368.9724609596,264461.52102463314,271197.9883033032,283375.4764386316,,,,
Benin,BEN,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.6658483289189,1060.179347340596,1080.9262533911565,1224.2093661599672,1235.7224233903164,1620.337017267266,2046.621930191508,2185.007358375742,2192.460765959183,2280.421591249614,3113.0206869099825,3349.9856687282486,3814.4138730006143,,4079.0145441985424,4163.415658451415,4083.1664806685767,3416.657692449438,3152.1562232922515,4018.5262283879074,3640.5563921039557,,,
Burkina Faso,BFA,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,379.5435560370682,,554.5728696336794,,,382.4674313984199,,354.36972630792724,,,446.45129804719096,,,,,,666.304713923184,,359.1436707716232,,,,,,,,,1804.780404540789,1885.36687119849,2182.9644557123443,,,2268.870090509113,2993.536984792052,2731.197734938146,3215.587080440824,3213.645770802074,2397.768788291016,,4118.519126448079,4377.542697613851,,,
Bangladesh,BGD,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,227.05642554942915,213.54022884228232,265.3565536905207,223.2879666126388,211.09600804277645,261.72432637128964,312.0161021814586,313.91725079400277,384.4259180555217,,,465.25890657742207,417.947082135297,479.1611034627421,508.72669065662683,,,,783.9141267529682,,873.4818764632544,888.4300485992342,901.4257532087507,833.2448046310747,923.5908411389098,922.1328694980662,,1086.1909191854954,1228.9529471097756,1304.6253309786591,1361.9856314174867,,1837.8722053345648,1921.1948545645123,1930.4543546945733,,,2152.244518008986,,,2461.304940245499,,
Bulgaria,BGR,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,7901.81022000136,,,,,,,,,,10540.665999599576,6883.315652104663,6375.576808742439,6327.949847016674,4789.979673455835,5356.812681720086,3278.448703933487,,4986.872237618146,,,5993.196262344573,7086.922243808351,10873.775513917853,7863.951219650735,16023.940246062986,17655.548121143962,21672.721120855633,30678.697418962005,29883.71186386989,26448.41839611613,27851.768542847818,25847.38509578752,31188.53062859667,,,,34107.231219390385,,,,
Bahrain,BHR,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55497.98463220626,54014.60059731238,57592.058282033846,,,,62573.09050667485,61288.90384957889,61660.3431488468,60389.64134602736,,55269.15911633419,,,,
"Bahamas, The",BHS,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60504.63098255315,,,,,,,,,,,,,,,,,,,,,
