"ï»¿""Data Source""",World Development Indicators,

Last Updated Date,2020-12-16,

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Antigua and Barbuda,ATG,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,milt spending per person (current US$ per capita),,4283.629843235107,4527.740224437497,4377.190008524187,4805.558575603677,5635.641693004551,6724.019626725464,8077.750063221968,9773.815337767948,10437.701145315006,10113.57171788939,9787.452348804163,9643.26764426931,10591.517344588727,11334.323946069366,14647.495582353127,15858.304082035826,16573.05179339839,17449.68367515484,18261.699157385865,20351.868870748607,22926.753981134894,27177.397672750543,30553.673637160493,29024.877075744043,31144.92908417272,28860.419885004085,28870.052034890574,27585.095720792593,30815.619568745456,36519.56759170702,37805.35968494323,40806.458793459526,40273.87595898305,38408.54372374805,38196.42701073862,41072.32476717297,42201.97869083996,43823.71806408304,39890.378890251704,38791.74370459888,39669.596333743415,36449.74005616152,37633.86313694451,43290.01156751049,55609.3458420605,61283.38636271551,65685.77756510614,74356.51727833062,89210.91937841476,82418.44194788793,96594.233461206,109848.72453703488,113645.77335111368,111756.68220549177,110782.29909691715,110707.76676692298,104015.49748601789,107946.4689165315,108640.63492347197,103502.53289497602,,
Austria,AUT,milt spending per person (current US$ per capita),,1364.0750168787288,1350.9941019910161,1470.8300677448406,1843.4731151193396,2395.7626755991514,2071.713242642594,2415.439434187103,2525.855714614112,2588.104588869303,2736.722136298087,2841.3691799450035,2966.9538136470323,3515.5449737950794,4610.461607749812,5912.932916730626,7670.906995744201,7752.115355960528,9166.777208538957,11727.359748621056,14042.748641660566,15437.431083413208,12952.129239986854,13296.78990336876,13268.211200761792,12714.789576853722,13873.92971342678,19739.197627889538,23223.274348699626,22837.810267619072,21559.385914440376,25923.097835451594,25867.05800166002,27348.62650193157,26864.98013755814,28069.110431500627,32546.67377746902,31290.080461391022,27945.520309227333,27856.382530886425,26637.499442783275,24080.994876177952,22285.95295312666,23326.677044877964,29440.138107731975,32899.31016901118,32648.13908492871,31931.7426433231,42191.61575444578,45023.087249817705,39971.53357159549,38481.35793441021,40632.32916942846,37808.21451679651,38079.39224318602,38673.31404722914,30842.38035761792,33167.308175764934,35862.934378223385,38271.337784126445,36372.303611734984,,
Azerbaijan,AZE,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.9161816071157,2649.316148469036,849.1330351970271,1087.0920414868856,922.4553002895555,1174.9553891546404,1355.519759186281,1506.5329924573066,1485.6706150458176,1626.9611023756775,1711.82930305534,2144.0407052582264,2747.8324511429255,3628.8570698232534,8452.398465820708,11031.268774367634,18347.198167006856,16461.81763006217,16307.296396340163,33576.83264237505,34922.37506778868,35763.20832666167,35945.03495231545,30058.51856297776,14321.700450743187,15847.92111833868,17178.211209254496,19169.83547486947,,
Burundi,BDI,milt spending per person (current US$ per capita),,,,289.61371092588826,34.13666496235117,38.39537762740002,69.48559695923569,72.13144760470081,73.0353760491919,77.64200843641903,97.7515143115578,,73.94809795555037,100.85163939994189,164.29659657871457,210.68267594928776,233.9682304641163,264.4193176913157,359.874529143994,432.0850167085522,510.6341452587922,645.7322263447458,688.2732110888672,811.3286482066209,747.5830096533241,635.5947547758495,665.9440335532626,689.8943778669452,596.2464226480998,658.6617123634146,703.0459806898773,717.8383115988165,794.2759429517517,684.9295272215683,602.2663488048395,614.8784702635377,703.3315178224788,839.8907688235782,1010.6421509030749,949.6477921104887,806.8548366088927,663.5427136301141,815.8195369150279,669.9665933104778,628.4176841604589,629.268658505106,672.8877972035135,587.7790890337131,589.003543568433,539.6965280318851,,,,637.7559882093973,608.4261989726543,582.4488308162342,672.7786579977377,597.0149000937382,548.0966500697648,511.4812170068507,461.13601399901177,,
Belgium,BEL,milt spending per person (current US$ per capita),,4327.173641441931,4400.388830864512,4725.1923071138235,4937.604856120895,5468.834775008507,5457.339985590924,6093.279587159902,6540.730879167137,6922.856142861758,7206.641142601172,8072.640366029028,8937.179852792295,11038.01207029366,13895.752689189463,15833.403000911743,20539.953071611944,22405.42198031459,26487.989629496577,33560.30669796197,38518.493239476906,41810.52177957959,35756.87830760668,30553.90806564303,28231.98864940028,25438.63954688274,25650.695474963442,35947.533041501825,43921.13741988636,43088.06193897161,40665.769637931655,48522.957400994106,48136.85656512772,42826.41042054155,38684.15290451976,40601.21184570101,44489.009877277305,42336.73681492849,36659.92473143458,37093.435285238906,34984.414027553,30903.543163283524,29353.414389002774,30256.11213545759,37163.65484210617,40643.291274645184,40165.01864598947,40654.263903949206,48447.30220451987,58396.87633066524,51718.69183549545,47877.7315946241,49408.507582152604,46379.32871952782,47228.40821273228,46652.953242908174,37780.817551289445,38048.290203368546,39566.366841038114,43315.36545065185,43340.525906795316,,
Benin,BEN,milt spending per person (current US$ per capita),,81.07699554108396,133.35067660460453,165.46729003800218,173.43951359070132,227.6379686162442,231.99570772367,214.61385880319256,221.2445890383306,242.22116019734298,219.8370208569819,186.18671916497595,180.22944441590664,200.5835478449498,271.7383695409553,250.9943860416267,309.48044373349063,267.42372974083173,366.7385413216278,314.79668383250356,632.8466477813737,768.0534224721273,524.3296778436276,421.4475599984451,439.7157324362986,510.87029329377737,462.94099528821926,596.8142887587934,784.8720243992688,787.3077016512915,591.8197679549683,659.1807667998884,,,,,,,,,365.9254021003364,288.55028113307753,253.24788631562785,487.05698321632207,627.740630635683,736.7615119016826,765.4265573910757,778.2167358176981,,1017.1517129541222,,,,1098.726593802882,1175.1516101661603,1237.0842242139656,1180.496203835145,1009.1873305844412,1436.8096596042124,1078.2890782939571,796.0477567325014,,
Burkina Faso,BFA,milt spending per person (current US$ per capita),,46.66687895846514,59.705893534683426,179.4946372848554,186.76512171916553,209.64433082711574,124.61631086193546,136.15775157887686,111.7873424646975,99.85628979992653,107.86667559414852,95.53736856608724,99.22069562667483,113.2179842222655,140.5402842106615,143.2502114132449,429.347087917385,486.22079884919845,537.9989236658992,741.7994479930279,707.2419523570989,776.4504148614964,722.6992210678059,736.0938105086507,639.2005932648244,584.8575124537587,368.9477118607575,673.2034524502302,655.7999204121903,723.4273763442442,835.5344024208417,952.0663946882823,750.6266399880037,493.89117660878816,454.6939700832965,274.7166909308365,326.1659974681115,320.9487599171743,325.20438021452316,326.3891995504573,413.20449531492613,354.60825658022077,347.1708194231195,390.2576837566121,452.2814782387646,568.1425751984123,618.84894403085,591.3797937311523,851.9627999151874,899.4176903154726,949.6542538290839,892.4044133946688,972.58832512856,1002.8529195002257,1094.6746837796888,1134.7923550578291,927.5767408859344,909.8196110200004,1124.356343563592,1730.38454536386,1912.115779127996,,
Bangladesh,BGD,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,78.5173388339839,109.99531514616861,234.48705057817807,215.1391574325292,206.25307737692813,223.38447355755025,187.5776839530019,195.2792697003227,226.80537016130458,234.15389463929813,259.74816994419524,252.09704242984103,258.7753708403667,259.8725349406121,296.7012318286136,337.3967604909944,368.96601408824506,374.6171671474677,356.02069325020824,399.50494533574016,429.6115428066,457.9931058797464,516.1064538056945,607.4992432474149,631.0226146332335,638.6595901593249,649.0581429925652,567.3694159766721,534.7398078808491,489.81585520246944,508.0295953041031,533.9932585150898,544.8602184006356,564.8029673548486,621.937740850745,672.7877677709909,812.3309706645672,1031.7768787661632,1168.128891035438,1169.601475757914,1235.348503039271,1431.4753214643715,1686.622969201229,1923.4740981771656,1943.8162026128737,2176.468472667981,2493.4541824897788,,
Bulgaria,BGR,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10889.654168245004,9071.958336721473,3858.009277408124,3602.775375593818,3335.294062567783,2862.756993009308,5361.467482762864,3532.5623324763915,3309.1383172474893,4465.561368478242,4390.240424141405,4330.616314072075,5108.13170838129,5862.917936701231,7375.334069206666,8108.15717411731,8786.094981985198,9484.798231023164,13121.494924511331,15508.972680864932,12188.687426314631,11206.525550893137,10308.263497942873,9907.360327694785,11183.550026978783,10363.798179222305,8890.103412694913,9511.252362182233,10351.356365783076,13915.526001848175,31655.524333182268,,
